Sex,ActualYear,Faculty,Avg,AcomStat,scholarship/bursary ,GoOut,MissClass,ModulFailed,Relation,ParentApprov,RelationParent
1,2,2,72,3,0,2,3,0,1,1,4
2,2,3,75,3,1,2,4,0,0,1,4
2,1,1,55,3,0,2,3,0,0,1,4
2,2,5,84,3,0,3,2,0,1,1,4
1,2,2,52,3,0,2,1,3,0,1,3
2,2,3,54,3,0,2,1,0,0,1,4
1,2,2,75,3,0,3,2,0,1,1,4
1,2,2,75,3,0,3,0,0,0,1,1
2,2,3,64,3,0,2,2,4,0,1,4
1,2,3,76,3,0,1,0,0,1,1,4
1,1,8,75,3,0,2,0,0,0,1,4
2,1,3,65,3,0,4,0,0,1,1,4
2,2,2,55,3,0,2,3,3,0,1,4
2,2,3,54,1,0,2,0,1,0,1,3
2,2,5,62,3,1,2,0,2,0,1,4
1,2,6,55,3,0,2,2,4,0,1,4
1,1,3,76,3,0,2,2,0,0,1,4
2,2,2,65,3,0,2,2,2,0,1,4
2,3,5,69,3,0,2,0,0,1,1,4
2,2,5,60,3,0,2,1,3,0,1,4
1,2,3,55,1,0,2,0,1,0,1,4
1,1,3,74,3,0,3,0,0,0,1,4
2,2,5,70,3,0,1,0,0,0,1,4
2,1,5,60,3,0,2,0,0,0,1,4
2,2,3,54,3,0,1,2,1,1,1,4
1,2,8,75,3,0,1,0,1,1,1,4
2,1,3,63,3,0,0,2,0,0,1,4
2,2,3,73,3,0,2,2,0,0,1,4
2,1,3,57,3,0,1,2,3,1,1,1
2,2,3,90,3,0,2,3,4,0,1,4
1,2,2,75,3,0,3,0,0,1,1,1
1,1,3,78,3,0,3,2,0,1,1,1
1,2,3,55,3,0,1,2,4,1,1,4
2,2,3,70,3,0,1,4,0,1,1,4
2,2,3,60,3,0,2,0,3,1,1,4
2,1,2,61,3,0,1,0,0,1,1,4
2,2,3,63,3,0,0,0,0,1,1,1
1,1,3,60,3,0,1,0,1,1,1,4
2,2,3,57,3,0,2,1,2,0,1,1
2,1,8,74,1,0,1,0,0,0,1,1
2,1,5,89,3,1,2,0,4,1,0,2
2,2,2,76,3,0,1,0,0,1,1,1
1,1,7,80,1,0,2,2,0,0,1,4
2,2,3,66,3,1,1,4,0,1,1,3
1,1,7,80,3,0,2,0,0,0,1,4
1,2,6,70,3,0,2,0,3,0,1,4
1,3,4,65,3,0,2,0,1,0,1,4
1,1,8,75,3,0,3,2,0,0,1,1
1,2,5,63,3,0,2,0,0,0,1,1
1,1,3,80,3,0,1,0,0,1,1,4
1,1,8,75,3,0,1,3,0,1,1,4
2,2,8,65,3,0,1,0,0,1,1,4
2,4,1,76,3,0,2,0,0,1,1,4
1,2,8,65,2,1,1,0,0,1,1,4
2,1,2,58,3,0,2,2,0,0,1,4
1,2,3,95.22,1,0,1,0,0,0,1,1
1,1,1,60,3,0,3,0,1,0,0,4
2,2,3,65,3,0,1,0,2,1,1,4
1,2,6,60,,0,3,2,0,0,1,4
2,2,3,58,3,0,2,0,0,1,0,4
2,3,1,55,3,1,1,1,3,0,1,4
1,3,7,71,3,0,2,0,0,0,1,4
1,3,2,60,3,0,1,0,0,1,1,4
1,2,3,70,3,0,1,3,0,0,1,4
1,2,3,60,3,0,2,0,1,1,1,4
1,3,3,64,3,0,2,0,1,0,1,4
1,3,8,84,2,1,2,0,0,1,1,4
1,2,3,60,3,0,1,1,2,0,1,4
2,3,7,61,1,1,2,0,1,0,1,4
1,2,6,66,3,0,1,3,1,0,1,4
2,1,3,65,3,0,2,1,0,0,1,4
1,2,5,53,3,0,1,2,4,0,1,4
1,1,1,62,3,0,2,0,0,0,1,4
1,2,8,65,3,0,1,3,0,0,1,4
1,3,2,62,3,0,2,1,1,1,1,1
2,2,3,61,3,0,2,1,1,0,1,4
2,2,3,73,3,0,2,1,0,0,1,3
1,3,3,60,3,0,3,1,0,0,1,1
2,2,3,60,3,0,1,0,0,1,1,4
2,3,1,64,3,0,2,1,0,0,1,4
2,2,3,62,3,0,1,1,1,0,1,4
1,1,2,69,3,0,2,0,0,1,1,4
2,2,3,57,3,0,2,2,1,0,0,3
2,1,3,60,3,0,2,0,0,1,0,4
2,2,5,60,3,0,1,4,0,1,1,4
1,1,3,66,3,1,2,2,3,1,0,4
2,1,3,70,3,0,1,0,0,0,1,3
2,3,8,65,3,0,1,0,1,1,1,1
2,2,3,72,3,0,2,4,0,0,1,1
1,2,3,62,3,0,2,1,2,1,1,4
1,3,8,76,3,0,1,1,0,0,1,1
2,1,1,75,3,0,2,0,0,1,1,4
2,1,8,88,3,1,2,0,0,1,1,2
1,2,2,61,3,0,2,0,0,1,1,4
2,1,3,52,3,0,2,1,4,0,1,4
1,5,3,79,3,0,2,0,0,0,1,4
2,1,5,56,1,0,2,0,0,1,1,1
2,2,2,70,1,0,2,4,0,1,1,1
2,2,3,60,3,0,1,0,0,0,1,4
2,2,1,57,3,0,1,1,3,1,0,1
1,1,8,64,3,0,2,1,0,0,1,4
2,2,3,60,3,0,1,2,2,0,0,1
2,2,3,74,1,0,1,0,0,0,1,4
1,2,4,73,3,0,2,0,0,1,1,1
1,2,3,51,3,0,2,0,4,1,1,3
2,2,5,60,1,0,3,4,1,0,1,4
1,2,3,60,3,0,3,2,2,0,1,4
2,1,3,65,3,1,0,0,0,0,0,1
1,1,2,54,3,0,4,4,3,1,1,4
2,1,8,65,1,0,2,0,2,0,1,4
2,2,3,64,3,0,2,3,3,1,1,4
1,1,3,61,3,0,1,0,1,0,1,4
2,5,1,68,3,0,3,2,0,0,1,4
2,2,3,53,3,0,2,0,4,1,1,1
1,1,3,73,2,1,1,0,0,1,0,1
1,1,3,50,1,0,2,0,4,1,1,4
1,1,1,64,3,0,1,1,0,0,0,1
1,2,3,73,3,0,2,4,0,1,1,4
1,2,3,73,3,0,2,4,0,1,1,4
1,2,3,50,3,0,1,0,1,1,1,4
1,2,3,68,3,0,3,1,0,0,1,4
2,4,1,65,3,0,2,2,2,0,1,4
2,4,3,71,3,0,1,0,0,0,1,4
1,2,2,65,3,0,2,2,1,0,1,1
2,3,1,60,3,1,2,2,4,0,1,1
1,2,3,72,3,0,1,1,0,1,1,3
1,3,8,70,3,0,4,2,0,0,1,4
2,3,3,77,3,0,1,1,0,1,1,4
2,2,1,60,1,0,3,4,0,0,1,1
1,1,3,75,1,1,2,0,1,0,1,1
2,2,3,68,1,0,4,0,0,0,1,1
1,2,3,65.89,3,1,0,0,1,0,0,4
2,4,3,63,3,0,2,0,2,1,1,4
2,2,3,55,3,0,2,2,2,1,1,4
1,2,3,73,3,0,1,1,0,1,0,4
1,2,2,80,3,0,2,0,0,0,1,1
2,2,3,69,1,0,4,0,0,0,0,4
1,2,2,70,3,0,3,4,0,1,1,4
2,2,3,73.5,3,0,2,0,0,1,1,4
1,2,8,70,3,0,1,0,0,1,1,4
2,1,3,68,3,0,3,1,0,0,1,1
1,3,1,63,3,1,2,0,0,0,0,1
1,1,4,77,3,1,3,0,0,0,1,4
1,2,8,70,3,0,2,0,1,0,0,4
1,2,3,60,3,0,2,0,4,0,1,4
1,3,3,50,3,0,2,0,4,1,1,4
1,1,8,60,3,0,2,1,1,0,1,4
1,1,2,73,3,0,2,0,0,0,1,1
1,2,2,65,3,1,3,0,1,1,1,3
1,2,8,75,3,0,2,0,0,0,1,3
2,1,1,62,3,0,1,3,0,0,1,4
2,1,3,63,1,0,3,3,0,0,1,3
2,3,8,62,3,0,1,1,3,1,0,3
2,1,8,60,3,0,3,3,2,0,1,4
1,3,3,55,3,0,2,0,1,1,1,4
1,1,3,65,3,0,2,1,0,1,1,4
1,1,8,57,3,1,2,0,1,1,1,4
1,2,2,72,3,1,2,0,0,0,1,4
2,2,8,50,3,0,2,0,4,1,1,1
2,2,3,51,3,0,2,0,4,1,1,4
2,4,3,88,3,0,2,0,0,0,1,4
2,1,3,54,3,0,3,4,3,0,1,4
1,1,8,68,3,0,3,0,0,0,1,4
2,2,3,59,1,0,1,0,3,0,1,4
2,1,3,65,3,0,2,2,0,0,1,1
2,1,3,77,1,0,2,0,0,0,1,4
1,1,3,62,3,0,2,0,1,0,1,4
2,1,3,60,3,0,0,0,1,0,0,4
1,1,3,84,3,0,2,0,0,1,1,3
1,1,3,70,3,0,2,0,1,0,1,4
1,1,3,60,3,0,3,1,0,1,1,4
2,3,3,63,3,0,2,3,0,1,1,4
1,1,3,80,1,0,2,1,0,1,1,1
1,1,3,78,3,0,1,1,1,1,1,4
1,2,3,76,1,0,2,1,0,0,1,4
1,2,2,63,3,0,2,0,2,0,0,1
2,3,8,65,1,0,0,0,2,0,1,1
1,2,3,58,3,0,2,0,2,0,0,3
2,2,3,67,3,0,1,1,0,0,1,4
2,1,3,59,3,0,2,2,0,0,1,4
1,2,2,65,3,0,2,0,2,0,0,1
2,3,3,74,1,1,2,3,0,0,1,4
2,2,3,60,3,1,2,0,0,0,1,1
1,2,3,64,3,0,2,4,4,1,1,4
2,2,5,65,2,1,1,1,4,1,0,3
1,1,3,80,3,0,3,2,0,0,1,1
2,1,2,64,3,0,3,0,0,0,1,4
1,2,3,75,3,0,0,0,0,1,1,4
2,3,3,63,3,0,1,0,0,1,1,1
1,3,4,74,3,0,2,0,0,0,1,4
1,3,3,60,3,0,2,0,1,0,0,4
2,2,3,60,3,0,1,2,2,0,1,4
2,2,3,55,3,0,1,0,1,1,1,4
1,1,3,55,3,1,0,0,1,0,0,4
2,1,3,58,3,0,3,2,0,0,1,4
2,1,8,92,1,0,2,0,0,1,1,4
2,3,3,53,3,0,1,4,4,1,1,4
2,3,3,77,1,1,0,0,0,0,1,1
2,4,3,63,1,1,2,0,4,1,1,1
1,1,3,70,3,0,2,1,0,1,1,4
1,2,3,57,3,0,3,0,4,0,1,4
1,2,5,87.6,3,0,2,0,0,0,1,4
1,1,3,60,3,1,2,0,0,1,0,1
1,4,3,55,3,0,1,1,4,0,1,4
2,1,8,73,1,0,2,4,0,0,1,4
2,1,8,76,3,0,1,2,0,0,1,4
1,2,2,68,3,0,1,1,3,0,1,4
2,2,3,57,3,1,1,1,3,0,0,1
1,1,1,63,3,0,2,2,0,1,1,1
2,1,3,64,3,1,1,1,0,0,1,4
2,1,3,55,1,0,3,4,1,0,0,4
2,1,8,76,3,0,3,4,0,0,0,4
2,1,3,65,3,0,1,2,0,0,1,1
1,1,3,71,3,0,2,0,0,1,0,3
2,1,3,73,3,0,3,2,2,0,1,3
2,1,5,57,1,0,2,2,0,1,1,4
2,5,5,62,3,0,1,0,1,1,1,4
2,1,3,75,3,0,1,0,0,1,1,4
2,1,8,69,3,1,2,0,0,0,1,4
2,1,3,65,3,0,4,4,0,1,1,1
2,2,3,64,3,0,1,2,3,1,1,4
1,2,8,76,3,0,1,1,2,0,1,4
2,5,5,65,3,1,3,0,0,1,1,3
2,1,8,60,3,0,1,1,1,0,1,1
2,1,3,72,1,0,1,1,0,0,1,4
1,2,2,69,3,0,2,0,0,1,1,3
2,3,6,68,3,0,3,0,0,1,1,1
2,2,3,64,3,0,3,2,1,1,1,1
1,1,4,67,3,1,2,3,1,0,1,4
1,1,1,77,3,0,1,0,0,1,1,4
1,2,2,83,3,0,2,0,0,0,1,4
1,2,8,61,3,0,3,0,1,1,1,4
1,1,3,65,3,0,2,0,0,0,1,4
2,2,3,65,3,0,3,0,2,0,1,4
1,2,3,67,1,0,2,0,1,0,1,4
1,1,5,58,3,0,2,2,0,0,1,4
1,2,3,61,3,0,2,3,0,1,1,1
1,2,3,77,3,0,1,0,0,1,1,1
2,2,8,57,3,0,1,1,1,0,1,1
2,1,3,30,3,0,4,4,4,0,1,4
1,1,3,80,3,0,2,1,4,0,1,4
2,1,3,65,3,0,1,0,0,1,1,3
2,1,2,70,3,0,2,1,0,0,1,4
2,1,5,73,3,0,2,0,0,0,1,4
1,1,3,89,3,0,0,0,0,1,1,4
2,2,3,81,3,0,3,1,1,0,1,4
1,2,3,71,3,0,2,2,0,0,1,3
1,1,3,76,3,0,2,0,0,1,1,4
1,2,3,80,3,0,3,1,0,1,1,4
2,2,7,62,3,0,1,1,0,0,1,1
2,2,3,58,1,0,1,2,1,0,1,1
2,1,3,76,3,0,1,0,4,0,1,3
1,2,2,72,3,0,1,2,0,0,1,4
2,2,3,55,1,0,2,2,2,1,1,4
1,2,3,70,3,1,1,1,1,1,1,1
2,3,1,61,3,0,2,1,2,0,1,4
2,1,8,55,3,0,2,3,1,1,1,4
1,3,3,73,3,0,1,0,0,1,1,4
2,3,5,74,3,0,0,0,0,1,1,1
2,3,6,63,3,0,1,3,1,0,1,1
1,3,5,61,3,0,2,1,1,1,1,4
2,2,8,58,1,0,1,2,0,0,1,4
1,3,8,63,3,0,3,0,0,1,1,4
1,1,5,59,3,0,2,0,0,1,1,4
2,2,3,56,1,1,1,1,0,1,0,3
2,1,2,54,3,0,2,2,2,0,0,1
1,2,3,61,3,0,0,0,4,0,,3
2,2,6,60,1,1,1,0,3,1,1,3
1,2,3,80,3,0,4,0,0,0,1,4
2,3,3,80,3,0,2,0,0,0,1,4
2,1,3,70,3,0,3,2,0,1,0,4
2,1,3,77,3,0,2,1,0,0,1,4
1,2,5,60,3,0,2,0,2,0,1,1
2,1,3,76,3,0,2,1,0,1,0,4
1,2,7,69.7,3,0,3,2,0,1,1,4
2,2,3,85,3,0,1,0,2,1,1,3
2,2,3,70,3,0,3,2,1,1,1,1
2,2,3,63,3,0,1,0,3,0,1,1
2,2,3,63,1,0,4,1,0,0,0,4
2,3,3,66,3,0,2,0,1,0,1,3
2,1,3,85,3,0,2,1,0,0,1,4
2,3,5,59,3,0,2,0,2,1,0,1
1,2,3,74,1,0,2,0,0,0,0,3
2,1,3,64,3,0,4,0,0,1,1,4
2,5,1,78,3,0,3,0,0,1,1,4
2,2,2,50,3,0,2,0,3,0,1,3
2,2,8,50,3,0,1,0,3,0,0,1
1,3,6,75,3,0,2,1,1,0,0,3
2,1,8,63,3,0,2,0,0,0,1,4
2,1,8,56,3,0,0,0,1,0,1,4
1,1,2,61,3,0,3,0,0,0,1,4
2,1,2,74,3,0,2,1,0,1,1,4
1,2,3,60,3,0,2,0,0,0,1,1
2,2,3,69,3,0,2,2,0,1,1,4
1,1,7,60,3,0,2,3,0,1,1,4
2,1,3,83,3,0,3,0,0,1,1,4
2,2,3,56,3,0,4,2,3,0,1,4
1,1,2,65,3,0,2,0,2,1,1,4
1,2,7,79,3,0,1,0,0,1,1,4
2,2,3,64,3,0,1,1,1,0,1,4
2,2,3,57,3,0,1,0,0,0,1,4
1,1,3,58,3,0,3,2,0,1,1,1
1,1,8,71,3,0,1,0,0,1,1,4
2,3,6,66,3,0,1,1,0,1,1,1
2,1,3,70,3,0,4,0,1,1,1,4
2,1,8,58,3,0,2,1,1,0,1,1
2,2,3,80,3,0,4,4,0,0,0,4
1,2,7,74,3,0,2,0,0,0,1,4
2,1,3,70,3,0,2,2,0,1,1,3
1,2,3,60,3,0,2,0,3,0,0,1
1,2,3,58,3,1,1,0,0,1,1,4
